message_id,msgSent,nn
34435006,"Thanks for joining the Healthy Relationships text campaign. Reply GO to begin, HELP for info, or STOP to quit. Msg&DataRatesMayApply.",79
34435009,"Most teens are in healthy relationships; however 1 in 3 young people will be in an unsafe, unhealthy, or abusive relationship.",1
34435012,"Thanks for joining the Healthy Relationships text campaign. Reply GO to begin, HELP for info, or STOP to quit. Msg&DataRatesMayApply.",7
34435015,"Before we begin, lets start with three questions. 
What grade are you in? Reply 7, 8, 9, 10, 11, or 12.",5
34435018,"How do you describe yourself?
1-Hispanic, 2-White (non-Hispanic), 3-African American, 4-Asian/Pacific Islander, 5-American Indian or Alaska Native, 6-Other",4
34435021,"What is your gender?
1-Male
2-Female",4
34435024,"Excellent! First message: Most teens are in healthy relationships; however 1 in 3 young people will be in an unsafe, unhealthy, or abusive relationship.",4
34435027,"Messages are sent 3 times per week. Your next message will arrive in a couple days. Until then, have a wonderful couple of days!",1
34435048,"Your partner tells you how special you are and how much they care about you. Is this 1-healthy, 2-unhealthy, or 3-abusive? Reply 1, 2 or 3 to answer.",145
34435051,YES! Everyone wants to be loved & cared for by their partner. It's important that each person knows how much the other means to them.,9
34435054,A person is trustworthy when their words & actions match up. Reply MORE for an example.,66
34435057,"Your partner says they trust you, but demands to read your txt msgs. Their words & actions don't match up.  They may not be trustworthy.",7
34435060,"Your partner stops by your job despite telling them that it made you uncomfortable. Is this 1-healthy, 2-unhealthy, or 3-abusive? Reply 1, 2 or 3 to answer.",119
34435063,"Actually this is abusive. Anytime a partner continues to do something after you tell them it makes you uncomfortable, they are being abusive.",7
34435066,Want more info about unhealthy or abusive relationships for you or a friend? Check out http://www.thehotline.org/ or call 1800799SAFE (7233),4
34435069,Mutual respect is essential to a healthy relationship. Reply MORE for an example.,65
34435072,Your partner values who you are as a person and respects your boundaries. You and your partner are free to do things outside of the relationship.,3
34435075,Fact or Crap? 1 in 4 dating teens is abused or harassed online or through texts by their partners. Reply 1-Fact or 2-Crap,126
34435078,This is actually true.,6
34435078,This is in fact correct.,11
34435081,"In a healthy relationship, your partner supports you through both difficult and exciting times without making you feel guilty. Reply MORE to find out why.",68
34435084,Your partner is not threatened by your successes and does not thrive off of your failures or mistakes.,7
34435087,"Your partner always checks up on you when you're not with them to keep tabs on you. Is this 1-healthy, 2-unhealthy, or 3-abusive? Reply 1, 2 or 3 to answer",115
34435090,Actually this is abusive. Your partner does not respect your personal space and is being controlling and invasive.,5
34435093,"In a healthy relationship, your partner should not ask you to quit something you love just so they can spend more time with you. Reply MORE for an example.",73
34435096,"If you love playing sports, then your partner should encourage you to keep playing - even if it means spending less time with you.",5
34435099,"Your partner pressures you to come over while their parents are not there, but you do not feel comfortable. Reply MORE for an appropriate response.",81
34435102,"""Thanks, but I have a lot of homework to finish up. Maybe later?""",6
34435105,"In a healthy relationship it is OK to want personal space & alone time. Your partner should respect this, not pressure you to hang out or make you feel guilty.",16
34435108,Want more info about unhealthy or abusive relationships for you or a friend? Check out http://www.thehotline.org/ or call 1800799SAFE (7233),3
34435111,"You are proud to be seen with your partner in front of parents, teachers, bosses, etc. Is this 1-healthy, 2-unhealthy or 3-abusive? Reply 1, 2 or 3 to answer",108
